property_id,city,area_sqft,bhk,bathrooms,price_lakh,furnishing
IN00107,Delhi,1263,2,2,15,Furnished
IN00108,Hyderabad,752,2,1,15,Unfurnished
IN00109,Kolkata,1503,4,1,16.06,Semi
IN00110,Hyderabad,1003,2,2,20.83,Semi
IN00111,Chennai,1430,1,2,21.5,Furnished
IN00112,Delhi,900,2,3,15,Furnished
IN00113,Chennai,300,1,3,15,Semi
IN00114,Mumbai,729,3,2,15,Furnished
IN00115,Delhi,589,1,2,15,Furnished
IN00116,Delhi,551,2,3,15,Unfurnished
IN00117,Bangalore,1262,3,3,15,Furnished
IN00118,Hyderabad,1429,2,2,19.68,Furnished
IN00119,Hyderabad,587,2,1,15,Unfurnished
IN00120,Hyderabad,1317,2,1,19.56,Furnished
IN00121,Delhi,1244,2,1,15,Semi
IN00122,Hyderabad,1486,3,2,15.99,Unfurnished
IN00123,Chennai,1041,2,1,15,Unfurnished
IN00124,Bangalore,1342,2,3,17.97,Unfurnished
IN00125,Delhi,939,3,3,15,Furnished
IN00126,Kolkata,1274,2,1,15,Furnished
IN00127,Delhi,1669,4,1,21.44,Unfurnished
IN00128,Chennai,1119,4,3,26.7,Furnished
IN00129,Kolkata,1640,3,1,19.92,Unfurnished
IN00130,Kolkata,1193,3,2,16.46,Unfurnished
IN00131,Chennai,1269,2,2,22.26,Semi
IN00132,Hyderabad,1383,3,2,15,Furnished
IN00133,Delhi,1565,3,2,15,Furnished
IN00134,Delhi,856,2,2,15,Semi
IN00135,Chennai,1970,2,2,19.64,Furnished
IN00136,Mumbai,835,1,2,15,Furnished
IN00137,Chennai,1102,2,3,15,Semi
IN00138,Mumbai,553,1,2,15,Semi
IN00139,Chennai,758,3,3,15,Semi
IN00140,Hyderabad,777,4,2,15,Unfurnished
IN00141,Chennai,1418,4,3,15,Furnished
IN00142,Delhi,1243,1,2,24.03,Unfurnished
IN00143,Chennai,437,1,1,15,Semi
IN00144,Kolkata,1220,2,2,15,Semi
IN00145,Chennai,1841,3,2,24.9,Unfurnished
IN00146,Delhi,1281,2,2,20.24,Semi
IN00147,Mumbai,2276,3,2,30.57,Unfurnished
IN00148,Delhi,1969,2,1,17.81,Semi
IN00149,Mumbai,922,1,3,15,Furnished
IN00150,Mumbai,1154,1,3,16.86,Furnished
IN00151,Chennai,1359,3,1,15,Unfurnished
IN00152,Kolkata,1183,3,2,15,Furnished
IN00153,Kolkata,1152,3,2,16.94,Semi
IN00154,Bangalore,1438,3,3,20.52,Unfurnished
IN00155,Chennai,1036,2,3,20.38,Unfurnished
IN00156,Chennai,1682,1,1,27.81,Unfurnished
IN00157,Bangalore,912,3,3,15,Semi
IN00158,Mumbai,729,2,1,15,Unfurnished
IN00159,Mumbai,1846,1,3,15.2,Unfurnished
IN00160,Mumbai,1838,4,1,40.15,Furnished
IN00161,Delhi,1429,1,2,15.33,Semi
IN00162,Delhi,1199,4,2,15,Furnished
IN00163,Mumbai,2098,2,1,15,Semi
IN00164,Chennai,1113,3,1,17.19,Unfurnished
IN00165,Kolkata,1124,4,1,15,Unfurnished
IN00166,Bangalore,1467,3,3,24.65,Furnished
IN00167,Delhi,908,3,2,16.81,Furnished
IN00168,Hyderabad,1445,1,3,15,Semi
IN00169,Mumbai,1907,4,3,15,Semi
IN00170,Delhi,1431,2,1,15.47,Furnished
IN00171,Mumbai,1553,2,2,24.98,Unfurnished
IN00172,Chennai,1072,1,3,15,Semi
IN00173,Mumbai,738,3,2,15,Furnished
IN00174,Chennai,327,3,3,15,Unfurnished
IN00175,Mumbai,387,3,2,15,Unfurnished
IN00176,Delhi,1557,3,1,15,Furnished
IN00177,Delhi,1382,2,2,15,Furnished
IN00178,Bangalore,1492,4,1,15,Unfurnished
IN00179,Mumbai,970,3,2,15,Unfurnished
IN00180,Chennai,873,4,2,15.22,Furnished
IN00181,Kolkata,1277,2,2,19.05,Semi
IN00182,Chennai,2030,1,1,33.47,Semi
IN00183,Kolkata,304,1,1,15,Unfurnished
IN00184,Mumbai,908,2,2,15,Unfurnished
IN00185,Kolkata,1836,2,2,17.42,Furnished
IN00186,Bangalore,1985,2,1,21.82,Semi
IN00187,Delhi,844,3,2,15,Semi
IN00188,Hyderabad,1713,2,2,15,Semi
IN00189,Kolkata,1610,2,3,26.72,Furnished
IN00190,Mumbai,1436,3,2,16.96,Furnished
IN00191,Chennai,841,1,2,15,Semi
IN00192,Hyderabad,1439,3,3,19.48,Furnished
IN00193,Chennai,300,2,2,15,Unfurnished
IN00194,Chennai,1893,4,3,27.43,Unfurnished
IN00195,Bangalore,1445,2,3,21.54,Unfurnished
IN00196,Delhi,1511,4,1,16.8,Furnished
IN00197,Mumbai,542,3,3,15,Furnished
IN00198,Kolkata,854,2,1,15,Semi
IN00199,Mumbai,1175,4,2,15,Furnished
IN00200,Delhi,1388,2,2,26.9,Furnished
IN00201,Delhi,1825,3,2,32.86,Furnished
IN00202,Mumbai,1574,3,1,15,Furnished
IN00203,Hyderabad,1392,2,3,34.5,Furnished
IN00204,Hyderabad,850,1,3,15,Semi
IN00205,Chennai,673,4,2,15,Semi
IN00206,Bangalore,1624,2,2,22.52,Unfurnished
IN00207,Hyderabad,1333,3,2,18.54,Furnished
IN00208,Mumbai,767,3,2,15,Semi
IN00209,Bangalore,1326,4,3,15.21,Semi
IN00210,Bangalore,1435,1,2,21.15,Furnished
IN00211,Kolkata,907,1,1,15.04,Furnished
IN00212,Chennai,1965,3,1,19.73,Semi
IN00213,Chennai,970,2,1,16.93,Furnished
IN00214,Delhi,988,3,1,15,Furnished
IN00215,Kolkata,767,3,2,15,Semi
IN00216,Hyderabad,355,1,1,15,Semi
IN00217,Kolkata,1488,3,1,15,Unfurnished
IN00218,Mumbai,776,4,2,15,Semi
IN00219,Delhi,982,2,2,15,Semi
IN00220,Mumbai,907,1,1,15,Semi
IN00221,Kolkata,1084,4,2,15,Furnished
IN00222,Hyderabad,1311,3,1,17.79,Furnished
IN00223,Kolkata,1064,2,1,15,Furnished
IN00224,Hyderabad,1138,2,1,15,Furnished
IN00225,Bangalore,1814,1,3,25.06,Unfurnished
IN00226,Chennai,1518,1,2,24.4,Furnished
IN00227,Hyderabad,630,2,2,15,Unfurnished
IN00228,Bangalore,426,2,1,15,Semi
IN00229,Chennai,902,2,3,15,Semi
IN00230,Bangalore,1143,4,2,16.49,Unfurnished
IN00231,Bangalore,927,1,2,15,Semi
IN00232,Bangalore,1208,3,2,19.18,Unfurnished
IN00233,Hyderabad,658,3,1,15,Furnished
IN00234,Mumbai,1079,3,1,15.91,Semi
IN00235,Bangalore,865,3,2,15,Unfurnished
IN00236,Hyderabad,1005,3,1,15,Semi
IN00237,Hyderabad,1122,3,1,15,Furnished
IN00238,Bangalore,1726,3,2,21.22,Unfurnished
IN00239,Kolkata,1033,2,1,15,Furnished
IN00240,Delhi,1335,1,1,21.19,Semi
IN00241,Mumbai,1767,3,1,24.11,Semi
IN00242,Kolkata,2377,4,2,29.05,Unfurnished
IN00243,Bangalore,1271,3,1,16.64,Unfurnished
IN00244,Bangalore,1759,3,2,21.27,Semi
IN00245,Bangalore,1448,1,2,22.8,Unfurnished
IN00246,Mumbai,1499,4,3,19.92,Furnished
IN00247,Hyderabad,1500,2,1,23.37,Furnished
IN00248,Hyderabad,806,2,3,15,Unfurnished
IN00249,Hyderabad,1351,3,1,15,Unfurnished
IN00250,Kolkata,1090,3,1,15,Unfurnished
IN00251,Hyderabad,996,1,2,15,Furnished
IN00252,Bangalore,1196,2,2,15,Semi
IN00253,Mumbai,865,3,1,15,Semi
IN00254,Hyderabad,1274,2,2,15.16,Unfurnished
IN00255,Kolkata,1217,2,3,15,Semi
IN00256,Delhi,840,2,1,15,Furnished
IN00257,Hyderabad,1615,1,1,15,Furnished
IN00258,Hyderabad,1356,3,3,15,Furnished
IN00259,Bangalore,875,3,1,15,Furnished
IN00260,Bangalore,1397,3,2,15,Unfurnished
IN00261,Bangalore,858,2,2,15,Unfurnished
IN00262,Chennai,1068,2,1,15.08,Unfurnished
IN00263,Delhi,1999,2,3,31.7,Semi
IN00264,Chennai,319,4,2,15,Unfurnished
IN00265,Hyderabad,1722,4,3,15,Furnished
IN00266,Mumbai,1133,2,3,15,Unfurnished
IN00267,Delhi,1471,1,3,17.52,Furnished
IN00268,Mumbai,505,4,3,15,Furnished
IN00269,Mumbai,1097,2,2,15,Furnished
IN00270,Hyderabad,300,4,2,15,Unfurnished
IN00271,Delhi,771,2,1,15,Semi
IN00272,Hyderabad,791,3,2,15,Semi
IN00273,Kolkata,684,1,2,15,Semi
IN00274,Delhi,1259,1,2,15,Unfurnished
IN00275,Bangalore,1250,3,2,15,Semi
IN00276,Mumbai,1350,3,2,15.72,Unfurnished
IN00277,Mumbai,354,3,3,15,Semi
IN00278,Bangalore,344,3,3,15,Semi
IN00279,Chennai,1081,2,1,15.99,Semi
IN00280,Bangalore,1430,3,1,15,Unfurnished
IN00281,Bangalore,688,2,2,15,Unfurnished
IN00282,Mumbai,971,3,1,15,Unfurnished
IN00283,Chennai,1221,3,1,15,Unfurnished
IN00284,Hyderabad,1186,2,2,15,Semi
IN00285,Bangalore,1194,2,3,15,Unfurnished
IN00286,Bangalore,1182,4,3,15,Semi
IN00287,Mumbai,800,1,3,15,Furnished
IN00288,Delhi,300,3,3,15,Semi
IN00289,Delhi,615,1,2,15,Unfurnished
IN00290,Chennai,1185,1,2,20.57,Unfurnished
IN00291,Bangalore,833,2,3,15,Furnished
IN00292,Chennai,652,2,1,15,Semi
IN00293,Hyderabad,1238,1,3,15,Semi
IN00294,Delhi,1161,3,3,15.09,Furnished
IN00295,Chennai,302,4,3,15,Furnished
IN00296,Mumbai,1888,3,3,26.09,Semi
IN00297,Kolkata,1022,3,2,15,Semi
IN00298,Kolkata,1286,3,1,15,Unfurnished
IN00299,Mumbai,1078,4,3,15,Semi
IN00300,Hyderabad,1128,4,2,18.76,Unfurnished
IN00301,Chennai,1567,1,3,18.66,Semi
IN00302,Chennai,300,4,2,15,Furnished
IN00303,Chennai,691,4,1,15,Unfurnished
IN00304,Bangalore,1580,1,2,15,Furnished
IN00305,Bangalore,300,2,1,15,Furnished
IN00306,Chennai,885,2,1,15,Unfurnished
IN00307,Hyderabad,1590,2,2,25.25,Furnished
IN00308,Delhi,1423,3,3,18.15,Semi
IN00309,Bangalore,2409,1,3,36.34,Semi
IN00310,Delhi,1367,4,1,15,Furnished
IN00311,Chennai,1932,4,2,27.93,Unfurnished
IN00312,Bangalore,450,1,1,15,Semi
IN00313,Mumbai,1001,3,3,15,Unfurnished
IN00314,Kolkata,1519,4,3,23.16,Semi
IN00315,Delhi,580,2,2,15,Furnished
IN00316,Mumbai,1541,3,1,20.75,Unfurnished
IN00317,Kolkata,1097,3,1,15,Furnished
IN00318,Kolkata,1167,3,3,15,Unfurnished
IN00319,Mumbai,1512,2,3,15,Unfurnished
IN00320,Mumbai,1060,2,3,15,Semi
IN00321,Hyderabad,300,2,2,15,Semi
IN00322,Delhi,494,1,2,15,Furnished
IN00323,Kolkata,336,2,2,15,Unfurnished
IN00324,Kolkata,1740,2,2,23.79,Semi
IN00325,Mumbai,1321,4,2,15,Semi
IN00326,Bangalore,806,3,2,15,Unfurnished
IN00327,Hyderabad,679,2,2,15,Unfurnished
IN00328,Delhi,1639,3,2,15,Furnished
IN00329,Mumbai,1883,3,3,30.83,Semi
IN00330,Bangalore,1248,4,1,21.45,Unfurnished
IN00331,Bangalore,1171,3,2,15,Unfurnished
IN00332,Bangalore,1639,2,3,19.77,Furnished
IN00333,Mumbai,1227,1,2,16.41,Semi
IN00334,Kolkata,1347,2,1,22.75,Unfurnished
IN00335,Delhi,1706,2,3,18.06,Semi
IN00336,Chennai,1097,3,1,18.44,Furnished
IN00337,Hyderabad,1196,4,3,15,Unfurnished
IN00338,Bangalore,2177,4,2,15,Semi
IN00339,Delhi,1857,1,1,18.52,Unfurnished
IN00340,Bangalore,1253,1,1,15,Unfurnished
IN00341,Chennai,1127,2,2,15,Semi
IN00342,Delhi,300,2,2,15,Semi
IN00343,Bangalore,395,4,1,15,Furnished
IN00344,Delhi,1481,4,3,22.61,Unfurnished
IN00345,Delhi,1350,2,1,17.17,Furnished
IN00346,Bangalore,1450,3,2,20.65,Furnished
IN00347,Mumbai,619,2,3,15,Furnished
IN00348,Bangalore,1154,4,2,15,Unfurnished
IN00349,Hyderabad,300,3,2,15,Unfurnished
IN00350,Kolkata,1187,4,2,26.18,Semi
IN00351,Hyderabad,1031,4,2,17.41,Semi
IN00352,Chennai,1127,3,3,16.66,Furnished
IN00353,Mumbai,1858,2,1,16.44,Furnished
IN00354,Delhi,1255,2,2,15,Unfurnished
IN00355,Chennai,1047,3,2,15.31,Unfurnished
IN00356,Bangalore,1263,4,3,17.68,Furnished
IN00357,Chennai,440,3,1,15,Furnished
IN00358,Kolkata,1895,3,3,23.13,Unfurnished
IN00359,Hyderabad,826,3,1,15,Furnished
IN00360,Mumbai,554,3,2,15,Unfurnished
IN00361,Mumbai,751,4,2,15,Furnished
IN00362,Chennai,949,3,2,15,Semi
IN00363,Chennai,358,2,2,15,Furnished
IN00364,Mumbai,1103,1,2,15,Semi
IN00365,Delhi,631,1,3,15,Furnished
IN00366,Hyderabad,819,3,2,15,Unfurnished
IN00367,Chennai,1205,3,3,15,Furnished
IN00368,Mumbai,822,4,2,15,Semi
IN00369,Delhi,907,3,2,15,Furnished
IN00370,Bangalore,1471,2,1,15,Unfurnished
IN00371,Hyderabad,855,2,1,15,Unfurnished
IN00372,Mumbai,1205,1,2,15,Unfurnished
IN00373,Mumbai,1117,3,2,20.09,Unfurnished
IN00374,Bangalore,1320,4,3,24.43,Furnished
IN00375,Delhi,300,2,2,15,Furnished
IN00376,Kolkata,1294,3,1,15,Furnished
IN00377,Kolkata,359,3,3,15,Semi
IN00378,Chennai,732,2,3,15,Furnished
IN00379,Bangalore,580,2,2,15,Furnished
IN00380,Kolkata,1808,1,2,25.7,Furnished
IN00381,Chennai,1072,2,2,15,Semi
IN00382,Delhi,1504,4,1,24.61,Furnished
IN00383,Chennai,1642,3,2,19.02,Furnished
IN00384,Delhi,1481,1,1,22.41,Unfurnished
IN00385,Chennai,1345,3,3,15,Unfurnished
IN00386,Delhi,1785,1,1,17.78,Unfurnished
IN00387,Bangalore,300,4,2,15,Furnished
IN00388,Hyderabad,833,3,3,15,Semi
IN00389,Hyderabad,1282,3,3,15,Unfurnished
IN00390,Mumbai,717,4,2,15,Semi
IN00391,Delhi,654,3,2,15,Furnished
IN00392,Kolkata,954,2,2,15,Semi
IN00393,Kolkata,679,2,2,15,Furnished
IN00394,Mumbai,1466,4,2,24.37,Furnished
IN00395,Mumbai,733,2,3,15,Semi
IN00396,Hyderabad,1929,3,1,30.79,Unfurnished
IN00397,Bangalore,566,3,2,15,Unfurnished
IN00398,Delhi,570,3,2,15,Furnished
IN00399,Mumbai,1215,3,3,19.81,Semi
IN00400,Bangalore,1573,4,1,15,Unfurnished
IN00401,Delhi,1536,2,2,15,Furnished
IN00402,Bangalore,900,1,2,15,Unfurnished
IN00403,Mumbai,1715,4,3,24.58,Unfurnished
IN00404,Chennai,1051,2,1,15,Semi
IN00405,Delhi,1109,1,1,22.43,Semi
IN00406,Delhi,437,3,2,15,Unfurnished
IN00407,Hyderabad,1006,1,3,15,Unfurnished
IN00408,Bangalore,861,3,2,15,Unfurnished
IN00409,Kolkata,697,2,2,15,Semi
IN00410,Kolkata,971,1,2,15,Furnished
IN00411,Kolkata,1054,3,2,19.29,Furnished
IN00412,Hyderabad,1262,2,1,15,Unfurnished
IN00413,Chennai,1233,2,1,15.12,Furnished
IN00414,Delhi,2121,1,2,32.32,Unfurnished
IN00415,Hyderabad,2144,2,3,29.54,Unfurnished
IN00416,Kolkata,1407,3,1,15,Semi
IN00417,Hyderabad,920,2,1,15,Unfurnished
IN00418,Bangalore,409,2,2,15,Unfurnished
IN00419,Chennai,1200,3,3,17.15,Semi
IN00420,Chennai,460,3,3,15,Unfurnished
IN00421,Kolkata,958,3,3,15,Unfurnished
IN00422,Kolkata,300,2,2,15,Semi
IN00423,Delhi,1545,4,2,21.68,Furnished
IN00424,Mumbai,1767,1,3,22.21,Unfurnished
IN00425,Chennai,1159,2,3,15,Semi
IN00426,Hyderabad,969,4,3,15,Furnished
IN00427,Bangalore,317,2,1,15,Furnished
IN00428,Mumbai,1016,3,1,15,Semi
IN00429,Hyderabad,309,1,1,15,Semi
IN00430,Delhi,959,2,2,15,Furnished
IN00431,Kolkata,784,2,2,15,Unfurnished
IN00432,Mumbai,1592,2,2,15,Unfurnished
IN00433,Kolkata,951,3,2,15,Furnished
IN00434,Delhi,300,3,1,15,Unfurnished
IN00435,Delhi,945,3,1,15,Unfurnished
IN00436,Bangalore,697,3,2,15,Furnished
IN00437,Chennai,1259,2,3,18.85,Unfurnished
IN00438,Delhi,941,2,1,15,Furnished
IN00439,Kolkata,1303,1,2,21.66,Unfurnished
IN00440,Delhi,1536,3,2,15,Semi
IN00441,Chennai,1152,4,2,16.04,Furnished
IN00442,Delhi,1114,3,2,15,Semi
IN00443,Delhi,1824,2,3,20.61,Semi
IN00444,Delhi,1259,1,3,15,Unfurnished
IN00445,Hyderabad,1532,3,2,15,Unfurnished
IN00446,Hyderabad,1655,2,3,15,Unfurnished
IN00447,Delhi,1031,2,1,18.99,Furnished
IN00448,Hyderabad,1101,3,2,15,Semi
IN00449,Chennai,1359,2,1,15,Furnished
IN00450,Bangalore,1599,2,2,24.54,Semi
IN00451,Bangalore,499,2,2,15,Furnished
IN00452,Mumbai,1042,2,1,15.76,Unfurnished
IN00453,Chennai,1961,3,2,15,Furnished
IN00454,Kolkata,1257,3,3,15,Furnished
IN00455,Mumbai,1666,4,2,27.38,Unfurnished
IN00456,Chennai,1586,2,2,15,Semi
IN00457,Kolkata,1323,3,1,15,Furnished
IN00458,Bangalore,1606,3,1,20.59,Unfurnished
IN00459,Hyderabad,1429,2,2,20.2,Unfurnished
IN00460,Bangalore,497,1,2,15,Unfurnished
IN00461,Kolkata,642,1,2,15,Semi
IN00462,Delhi,1495,4,3,18.26,Unfurnished
IN00463,Chennai,868,1,1,15,Unfurnished
IN00464,Kolkata,1105,2,1,15,Semi
IN00465,Chennai,851,3,2,15,Semi
IN00466,Mumbai,1661,2,1,15,Semi
IN00467,Hyderabad,1581,4,1,15,Unfurnished
IN00468,Bangalore,1780,2,1,15,Unfurnished
IN00469,Kolkata,750,2,2,15,Unfurnished
IN00470,Hyderabad,1086,2,1,15,Unfurnished
IN00471,Chennai,938,3,1,15,Unfurnished
IN00472,Bangalore,398,2,2,15,Semi
IN00473,Mumbai,585,2,2,15,Furnished
IN00474,Kolkata,1297,3,2,15,Semi
IN00475,Delhi,1064,2,1,15,Unfurnished
IN00476,Delhi,1495,2,2,23.54,Unfurnished
IN00477,Bangalore,1043,1,2,15,Semi
IN00478,Bangalore,1376,2,3,15,Furnished
IN00479,Bangalore,1067,2,1,15,Furnished
IN00480,Hyderabad,1512,4,2,15,Unfurnished
IN00481,Chennai,1668,4,3,15,Unfurnished
IN00482,Delhi,971,2,2,15,Furnished
IN00483,Chennai,895,2,2,15,Semi
IN00484,Hyderabad,418,2,2,15,Furnished
IN00485,Chennai,770,3,2,15,Semi
IN00486,Kolkata,600,2,1,15,Furnished
IN00487,Delhi,762,3,2,15,Unfurnished
IN00488,Mumbai,1967,2,2,30.01,Furnished
IN00489,Chennai,1985,3,1,21.89,Furnished
IN00490,Hyderabad,1010,3,3,15,Furnished
IN00491,Kolkata,1491,2,1,21.3,Furnished
IN00492,Delhi,714,2,3,15,Furnished
IN00493,Kolkata,1023,4,3,15,Furnished
IN00494,Kolkata,957,4,2,21.27,Unfurnished
IN00495,Delhi,1860,4,3,20.28,Unfurnished
IN00496,Delhi,1144,2,2,15,Unfurnished
IN00497,Hyderabad,1616,3,1,15,Semi
IN00498,Delhi,957,1,3,15.33,Unfurnished
IN00499,Hyderabad,1395,1,3,16.31,Semi
IN00500,Delhi,529,2,3,15,Semi
IN00501,Chennai,1332,3,2,24.43,Furnished
IN00502,Mumbai,1160,2,3,15,Furnished
IN00503,Chennai,1832,3,2,27.26,Semi
IN00504,Delhi,1314,4,2,15,Unfurnished
IN00505,Hyderabad,879,2,3,15,Furnished
IN00506,Kolkata,1214,2,2,16.19,Furnished
IN00507,Mumbai,1078,4,3,15,Unfurnished
IN00508,Delhi,531,4,3,15,Unfurnished
IN00509,Chennai,1018,2,3,15,Furnished
IN00510,Bangalore,2130,4,1,37.79,Furnished
IN00511,Bangalore,1680,2,2,19.08,Semi
IN00512,Mumbai,857,4,2,15,Unfurnished
IN00513,Chennai,1557,1,2,15,Unfurnished
IN00514,Mumbai,1387,2,2,15,Unfurnished
IN00515,Kolkata,1076,3,2,15.21,Furnished
IN00516,Kolkata,1736,3,1,24.99,Semi
IN00517,Hyderabad,1395,3,2,15.47,Semi
IN00518,Hyderabad,1282,3,2,21.09,Furnished
IN00519,Kolkata,300,1,2,15,Furnished
IN00520,Chennai,1237,4,2,15,Furnished
IN00521,Hyderabad,1757,3,3,20.26,Furnished
IN00522,Hyderabad,1139,2,1,15,Semi
IN00523,Kolkata,1197,2,1,15.76,Semi
IN00524,Hyderabad,1598,3,2,25.14,Unfurnished
IN00525,Mumbai,1927,4,2,15.44,Semi
IN00526,Hyderabad,804,1,2,15,Unfurnished
IN00527,Hyderabad,1203,4,2,15,Unfurnished
IN00528,Kolkata,715,3,1,15,Unfurnished
IN00529,Hyderabad,1395,2,2,22.48,Unfurnished
IN00530,Mumbai,700,1,1,15,Unfurnished
IN00531,Delhi,1716,4,2,15,Semi
IN00532,Delhi,1625,2,2,30.52,Semi
IN00533,Bangalore,1732,2,1,15,Unfurnished
IN00534,Kolkata,1447,3,1,15,Semi
IN00535,Hyderabad,1662,3,3,25.19,Semi
IN00536,Chennai,887,3,2,15.89,Semi
IN00537,Kolkata,1272,4,3,15,Unfurnished
IN00538,Kolkata,300,2,2,15,Semi
IN00539,Mumbai,1484,2,2,20.97,Unfurnished
IN00540,Hyderabad,1590,2,2,17.8,Unfurnished
IN00541,Bangalore,898,2,2,15,Unfurnished
IN00542,Mumbai,788,3,2,15,Unfurnished
IN00543,Mumbai,911,1,2,15.52,Semi
