id,ciudad,tipo,area_m2,alcobas,banos,precio_cop,lat,lon,fecha,estado
CO004872,Cali,Apartaestudio,136.8,1,1,227600000.0,3.370613,-76.572382,2024-06-02,publicada
CO028943,Medellín,Apartamento,112.7,2,3,200800000.0,6.206069,-75.544977,2024-07-08,vendida
CO013630,Cali,Casa,131.5,4,2,213900000.0,3.431674,-76.468959,2024-08-17,publicada
CO027468,B/quilla,Apartamento,105.3,3,1,129800000.0,10.99814,-74.843078,2024-12-17,publicada
CO020537,Bogotá,Local,172.1,3,2,285600000.0,4.630887,-74.049153,2024-05-17,vendida
CO036620,Santiago de Cali,Apartamento,130.3,4,1,172600000.0,3.45473,-76.496573,2024-09-24,comprada
CO031062,B/quilla,Local,143.3,3,3,186800000.0,10.952605,-74.77628,2024-06-26,remodelacion
CO027808,Medellin,Apartamento,103.8,2,3,142500000.0,6.174138,-75.529613,2024-07-12,comprada
CO028888,Santiago de Cali,Local,126.5,2,1,171800000.0,3.474487,-76.495856,2024-05-24,vendida
CO044042,Medellín,Local,126.2,1,2,112300000.0,6.247414,-75.504471,2024-10-15,publicada
CO006396,Medellin,Local,131.6,1,3,221700000.0,6.226368,-75.548987,2024-10-18,publicada
CO008929,B/quilla,Apartaestudio,95.7,3,2,111900000.0,11.006709,-74.761163,2024-08-01,publicada
CO003477,Bogotá,Local,152.9,2,3,276200000.0,4.694696,-74.04109,2024-12-14,publicada
CO030215,Bogotá,Apartamento,149.6,2,1,236000000.0,4.630172,-74.159236,2024-04-04,comprada
CO016221,B/quilla,Casa,112.3,4,2,103600000.0,10.95047,-74.849384,2024-06-13,vendida
CO009087,Cali,Apartaestudio,108.3,3,1,142000000.0,3.379597,-76.522039,2024-07-01,publicada
CO034489,Medellin,Apartamento,98.5,1,1,137200000.0,6.23798,-75.632716,2024-06-25,remodelacion
CO011598,Medellin,Casa,77.9,1,3,136500000.0,6.264652,-75.558884,2024-09-05,publicada
CO011743,Cali,Apartaestudio,137.9,2,1,156500000.0,3.375775,-76.545355,2024-09-01,vendida
CO029011,Barranquilla,Casa,142.1,1,1,171300000.0,10.914517,-74.845154,2024-06-13,vendida
CO036025,BOGOTA,Apartamento,139.1,2,2,285800000.0,4.636402,-74.09051,2024-02-11,publicada
CO003598,Barranquilla,Apartaestudio,136.1,3,3,161800000.0,10.930109,-74.740461,2024-03-20,publicada
CO003193,Medellín,Apartaestudio,110.3,3,3,157800000.0,6.225231,-75.523607,2024-10-15,vendida
CO004799,Medellín,Apartamento,154.8,3,1,328000000.0,6.277082,-75.629822,2024-07-23,publicada
CO029112,BOGOTA,Casa,103.8,2,2,156400000.0,4.637479,-74.033861,2024-12-22,publicada
CO044428,Bogotá,Apartamento,175.8,2,1,172600000.0,4.625374,-74.147818,2024-03-01,vendida
CO004704,Medellín,Casa,76.4,4,1,123200000.0,6.172737,-75.61325,2024-09-18,publicada
CO014092,Santiago de Cali,Apartaestudio,168.3,2,2,180500000.0,3.392349,-76.538734,2024-12-08,comprada
CO039017,Bogota D.C.,Local,150.8,3,3,211200000.0,4.689307,-74.033161,2024-11-15,remodelacion
CO031484,Barranquilla,Local,145.5,1,1,182200000.0,10.92972,-74.822343,2024-12-18,vendida
CO004855,B/quilla,Casa,178.3,2,1,214900000.0,10.927526,-74.737825,2024-08-25,remodelacion
CO007168,Santiago de Cali,Apartaestudio,92.2,2,3,109200000.0,3.483097,-76.567189,2024-09-12,publicada
CO023122,Bogota D.C.,Apartaestudio,102.3,3,1,122600000.0,4.614841,-74.129139,2024-04-19,publicada
CO004756,B/quilla,Apartaestudio,160.1,2,2,205400000.0,11.017226,-74.778627,2024-10-23,remodelacion
CO018220,Medellín,Apartamento,75.3,2,1,81400000.0,6.275384,-75.55903,2024-09-03,publicada
CO024621,Bogota,Apartamento,160.1,4,2,261300000.0,4.70217,-74.042322,2024-08-13,remodelacion
CO020256,MEDELLIN,Apartamento,140.6,2,3,232500000.0,6.272386,-75.628884,2024-12-26,publicada
CO036471,B/quilla,Apartaestudio,109.9,2,3,116700000.0,10.911428,-74.768937,2024-08-06,vendida
CO000311,Medellín,Apartamento,49.5,3,3,79400000.0,6.184093,-75.639816,2024-04-19,publicada
CO002864,BOGOTA,Local,133.4,2,3,249300000.0,4.647435,-74.042205,2024-11-16,remodelacion
CO008257,Bogota,Casa,56.9,3,1,97900000.0,4.627931,-74.059067,2024-01-14,publicada
CO038216,Medellín,Apartaestudio,73.9,1,3,68400000.0,6.251663,-75.566618,2024-03-04,vendida
CO021388,BOGOTA,Casa,107.7,3,3,224300000.0,4.583128,-74.047945,2024-03-11,comprada
CO034970,Bogota,Apartaestudio,81.6,2,2,125900000.0,4.60588,-74.132127,2024-01-19,publicada
CO009950,Santiago de Cali,Apartaestudio,120.1,4,2,149800000.0,3.480398,-76.530147,2024-01-28,publicada
CO020895,Medellin,Apartaestudio,140.9,1,1,206700000.0,6.234372,-75.578339,2024-01-12,remodelacion
CO011146,Medellín,Apartaestudio,126.4,1,1,218300000.0,6.224358,-75.554223,2024-01-04,publicada
CO014017,Medellin,Apartamento,124.6,3,1,136100000.0,6.254755,-75.627351,2024-08-22,comprada
CO022075,Barranquilla,Casa,52.3,3,2,60000000,10.924483,-74.863579,2024-09-13,publicada
CO028323,Bogotá,Casa,62.1,2,3,92700000.0,4.69128,-74.132388,2024-11-09,remodelacion
CO030971,Bogota D.C.,Apartamento,106.8,3,1,171000000.0,4.664067,-74.058378,2024-12-10,remodelacion
CO029416,B/quilla,Local,97.2,3,1,114200000.0,11.048921,-74.744869,2024-10-19,publicada
CO043770,MEDELLIN,Local,76.3,3,1,111400000.0,6.185078,-75.534399,2024-08-20,publicada
CO008664,Santiago de Cali,Apartamento,41.0,2,2,60000000,3.462109,-76.529983,2024-12-23,remodelacion
CO017910,Medellín,Local,175.2,2,1,237700000.0,6.174714,-75.626488,2024-07-17,publicada
CO007445,B/quilla,Apartaestudio,98.2,3,3,117500000.0,10.974431,-74.812306,2024-12-15,publicada
CO022442,Barranquilla,Apartamento,113.5,3,3,104100000.0,11.023713,-74.808178,2024-02-05,vendida
CO013452,Bogota,Casa,197.1,2,2,382500000.0,4.605228,-74.11371,2024-07-14,vendida
CO019711,Santiago de Cali,Casa,158.7,4,2,111800000.0,3.424638,-76.513931,2024-08-01,comprada
CO020386,B/quilla,Casa,84.3,2,2,95900000.0,10.953716,-74.73865,2024-05-15,publicada
CO002187,Bogota D.C.,Apartamento,114.5,4,3,218900000.0,4.636341,-74.104531,2024-10-09,publicada
CO007384,BOGOTA,Casa,89.0,3,1,150400000.0,4.700781,-74.04015,2024-02-14,remodelacion
CO013999,Santiago de Cali,Apartaestudio,125.5,3,3,163700000.0,3.371565,-76.474261,2024-01-12,comprada
CO007606,Cali,Casa,128.9,2,2,169600000.0,3.373012,-76.546947,2024-07-07,comprada
CO016295,B/quilla,Apartaestudio,36.9,3,2,60000000,11.035396,-74.774378,2024-02-15,comprada
CO007429,Cali,Local,220.7,4,1,226100000.0,3.496029,-76.529898,2024-01-15,remodelacion
CO019264,Bogotá,Apartaestudio,101.7,2,1,170500000.0,4.659929,-74.040869,2024-04-15,comprada
CO013274,Santiago de Cali,Local,118.1,3,1,163500000.0,3.387431,-76.577686,2024-05-25,remodelacion
CO026825,Santiago de Cali,Local,131.7,1,2,253200000.0,3.411241,-76.555431,2024-05-04,comprada
CO007064,Medellin,Local,28,4,2,60000000,6.23049,-75.553203,2024-07-14,publicada
CO033743,Cali,Local,99.4,2,1,130700000.0,3.446036,-76.495641,2024-12-18,vendida
CO029161,Bogota D.C.,Apartamento,132.7,2,1,265000000.0,4.599747,-74.114274,2024-03-05,publicada
CO006836,Bogotá,Apartamento,124.8,4,3,165300000.0,4.719695,-74.062713,2024-02-08,vendida
CO016723,Cali,Local,181.2,3,3,213300000.0,3.482156,-76.549371,2024-04-19,publicada
CO030534,Santiago de Cali,Casa,125.7,2,3,169800000.0,3.398464,-76.548776,2024-10-12,vendida
CO022233,BOGOTA,Local,140.4,3,3,180900000.0,4.653674,-74.11091,2024-09-02,vendida
CO042082,B/quilla,Local,170.8,3,1,290800000.0,11.001679,-74.799464,2024-05-01,vendida
CO010518,Santiago de Cali,Local,139.5,1,1,158700000.0,3.451483,-76.574951,2024-10-07,vendida
CO020332,MEDELLIN,Apartamento,123.6,2,1,161900000.0,6.183777,-75.60754,2024-05-13,comprada
CO023310,MEDELLIN,Apartamento,172.1,2,2,190700000.0,6.180344,-75.557749,2024-02-12,publicada
CO033941,Barranquilla,Apartamento,112.9,2,2,120000000.0,10.96126,-74.857153,2024-04-02,remodelacion
CO017713,Medellin,Apartamento,195.9,2,1,344700000.0,6.209549,-75.634095,2024-07-27,publicada
CO040898,Medellin,Casa,143.5,3,1,277300000.0,6.29473,-75.546415,2024-03-20,publicada
CO004931,Santiago de Cali,Apartamento,156.4,4,2,175400000.0,3.421668,-76.486319,2024-09-18,publicada
CO012058,Medellin,Casa,129.2,3,2,242100000.0,6.215654,-75.590379,2024-05-26,comprada
CO042092,B/quilla,Local,120.3,2,3,146900000.0,10.975827,-74.795623,2024-10-16,vendida
CO014391,Medellín,Local,112.2,2,2,149800000.0,6.174504,-75.623358,2024-08-07,vendida
CO019584,BOGOTA,Apartamento,70.5,2,1,125000000.0,4.651388,-74.133899,2024-12-18,publicada
CO002103,Santiago de Cali,Local,132.0,1,2,150200000.0,3.377693,-76.471215,2024-03-25,publicada
CO021565,Cali,Casa,82.7,3,1,139500000.0,3.424686,-76.520246,2024-06-23,comprada
CO013516,Bogota D.C.,Local,118.5,2,2,120900000.0,4.656781,-74.098179,2024-11-15,publicada
CO007496,MEDELLIN,Apartamento,70.6,3,1,70400000.0,6.187123,-75.539668,2024-10-19,vendida
CO017559,Santiago de Cali,Apartamento,171.7,2,2,227300000.0,3.377653,-76.461521,2024-10-28,vendida
CO019126,Barranquilla,Apartamento,93.7,2,1,88500000.0,10.962367,-74.757755,2024-11-12,vendida
CO014810,Medellín,Local,177.8,4,2,208600000.0,6.268528,-75.564285,2024-03-05,publicada
CO025867,Cali,Apartamento,166.7,2,2,184400000.0,3.446861,-76.551629,2024-04-11,publicada
CO021315,Barranquilla,Casa,154.6,1,1,228500000.0,10.946281,-74.852813,2024-11-07,publicada
CO043175,Cali,Apartaestudio,85.6,1,2,118500000.0,3.455667,-76.583482,2024-01-16,remodelacion
CO007948,Bogotá,Apartamento,197.7,3,2,261400000.0,4.598389,-74.069087,2024-10-13,publicada
CO018780,Medellin,Apartaestudio,124.5,3,3,207500000.0,6.249842,-75.555159,2024-03-23,vendida
CO020235,Santiago de Cali,Apartaestudio,124.5,1,3,121700000.0,3.412654,-76.571665,2024-12-25,comprada
CO021850,Barranquilla,Casa,139.0,4,2,176800000.0,10.926913,-74.747564,2024-08-24,vendida
CO012534,Medellin,Apartaestudio,112.6,1,1,117900000.0,6.202466,-75.548903,2024-04-03,vendida
CO037361,B/quilla,Apartaestudio,100.2,1,2,146200000.0,10.92627,-74.765348,2024-05-07,publicada
CO027165,Bogota D.C.,Apartamento,163.9,3,1,185400000.0,4.661649,-74.152012,2024-09-20,vendida
CO042304,Bogotá,Apartaestudio,116.4,2,2,224900000.0,4.62585,-74.121307,2024-04-06,publicada
CO022237,Santiago de Cali,Casa,98.6,3,1,130600000.0,3.397114,-76.467303,2024-03-18,publicada
CO015464,B/quilla,Casa,82.1,3,2,62800000.0,10.91306,-74.825153,2024-07-13,publicada
CO032028,Barranquilla,Local,105.5,3,2,101700000.0,10.953307,-74.781938,2024-04-21,remodelacion
CO020124,Cali,Casa,149.6,4,1,202100000.0,3.49054,-76.464997,2024-10-25,comprada
CO033947,Cali,Apartaestudio,122.5,2,1,190000000.0,3.421237,-76.531648,2024-08-27,publicada
CO003964,Medellin,Casa,56.1,2,3,68600000.0,6.252724,-75.503724,2024-01-02,publicada
CO028626,Santiago de Cali,Casa,95.8,2,2,139800000.0,3.503829,-76.561432,2024-07-24,publicada
CO030743,MEDELLIN,Casa,165.4,4,1,318100000.0,6.254508,-75.576242,2024-04-09,publicada
CO032003,Barranquilla,Apartaestudio,86.7,3,1,123000000.0,10.937727,-74.816528,2024-09-23,vendida
CO029776,Barranquilla,Apartaestudio,144.8,2,2,184000000.0,11.02955,-74.83045,2024-03-09,comprada
CO042007,Santiago de Cali,Apartaestudio,135.5,3,1,214000000.0,3.46661,-76.497717,2024-10-22,publicada
CO018354,Bogota,Local,155.9,2,1,216900000.0,4.621444,-74.168626,2024-03-22,publicada
CO003899,Cali,Apartaestudio,98.4,2,2,156300000.0,3.473844,-76.466083,2024-08-14,publicada
CO028593,Barranquilla,Local,128.3,4,3,145600000.0,10.979546,-74.75264,2024-06-22,publicada
CO024754,B/quilla,Casa,148.3,3,2,150200000.0,11.010315,-74.80403,2024-12-21,remodelacion
CO008914,MEDELLIN,Apartamento,139.6,4,2,286100000.0,6.1786,-75.61098,2024-01-13,vendida
CO034243,Medellin,Local,132.7,2,2,212300000.0,6.305697,-75.608771,2024-11-05,publicada
CO036151,Cali,Local,213.5,2,2,213300000.0,3.406919,-76.519423,2024-05-14,publicada
CO010619,Bogota,Apartaestudio,117.2,1,3,194700000.0,4.703368,-74.036688,2024-05-15,comprada
CO041015,Bogota,Local,38.2,3,2,63900000.0,4.658436,-74.037694,2024-01-07,publicada
CO000307,Bogota D.C.,Apartaestudio,140.0,2,3,220700000.0,4.691609,-74.071028,2024-03-27,remodelacion
CO021448,MEDELLIN,Apartaestudio,197.8,3,1,302700000.0,6.301837,-75.637504,2024-07-14,remodelacion
CO019274,B/quilla,Apartamento,137.6,3,2,174900000.0,11.013464,-74.807635,2024-05-27,vendida
CO001076,Santiago de Cali,Local,110.8,2,3,170500000.0,3.447536,-76.509682,2024-11-18,remodelacion
CO023864,Medellin,Apartaestudio,134.4,2,1,183700000.0,6.19477,-75.60984,2024-09-04,publicada
CO028875,Santiago de Cali,Apartamento,134.1,3,1,183600000.0,3.50788,-76.48259,2024-09-24,comprada
CO004939,Medellin,Local,123.2,2,2,162600000.0,6.309497,-75.531766,2024-05-17,vendida
CO004574,Medellín,Casa,161.2,2,3,153500000.0,6.258835,-75.605648,2024-06-04,publicada
CO042819,B/quilla,Local,119.7,1,1,159900000.0,11.004618,-74.829366,2024-07-21,publicada
CO005650,Cali,Apartamento,123.4,2,2,151700000.0,3.474319,-76.538616,2024-02-08,publicada
CO010382,Medellín,Local,147.8,2,1,266100000.0,6.221713,-75.550814,2024-02-04,comprada
CO019727,MEDELLIN,Apartaestudio,113.9,4,2,195600000.0,6.280651,-75.504066,2024-12-17,vendida
CO018758,Medellin,Apartamento,127.6,3,3,206000000.0,6.25718,-75.558282,2024-08-03,comprada
CO041054,Santiago de Cali,Local,100.4,3,2,108700000.0,3.436929,-76.563586,2024-07-21,publicada
CO019352,Barranquilla,Local,154.5,1,1,157300000.0,10.943088,-74.804542,2024-06-03,publicada
CO027982,B/quilla,Casa,36.7,2,1,60000000,10.934393,-74.863545,2024-08-03,publicada
CO023765,Barranquilla,Casa,138.2,3,3,144600000.0,11.044394,-74.809033,2024-11-09,vendida
CO005778,Bogota,Local,157.9,3,2,208100000.0,4.610214,-74.079885,2024-11-22,publicada
CO015043,Bogota,Casa,216.8,1,2,360400000.0,4.601258,-74.140516,2024-12-03,publicada
CO044976,Barranquilla,Local,116.9,2,3,141400000.0,10.950837,-74.8267,2024-12-21,vendida
CO005826,Bogota D.C.,Casa,69.7,3,2,111400000.0,4.654458,-74.036806,2024-12-19,comprada
CO023049,MEDELLIN,Casa,117.9,2,1,122000000.0,6.236587,-75.627807,2024-06-04,vendida
CO025073,Bogotá,Casa,179.2,2,2,264200000.0,4.679029,-74.12713,2024-08-20,remodelacion
CO034762,MEDELLIN,Casa,129.1,4,1,231800000.0,6.208241,-75.593832,2024-03-27,publicada
CO010198,Barranquilla,Apartaestudio,153.3,2,1,253100000.0,11.01267,-74.739325,2024-04-08,comprada
CO010776,Santiago de Cali,Local,112.7,2,1,168800000.0,3.408298,-76.469487,2024-06-05,vendida
CO008459,Medellín,Apartaestudio,163.6,2,1,295800000.0,6.29385,-75.531356,2024-03-19,comprada
CO003280,Bogotá,Local,75.5,3,2,144200000.0,4.702293,-74.095323,2024-01-20,comprada
CO003023,Medellin,Apartaestudio,140.8,3,2,217400000.0,6.294745,-75.636843,2024-10-03,comprada
CO026784,Medellin,Apartaestudio,93.7,2,3,114900000.0,6.269826,-75.509883,2024-01-02,vendida
CO028629,Medellín,Apartaestudio,82.3,4,3,87400000.0,6.271483,-75.524294,2024-01-10,publicada
CO015951,MEDELLIN,Apartaestudio,84.6,1,2,145000000.0,6.17178,-75.602401,2024-01-18,publicada
CO001508,Bogota D.C.,Casa,28,1,1,60000000,4.702162,-74.049501,2024-04-13,vendida
CO001556,MEDELLIN,Apartamento,229.5,1,2,343900000.0,6.269007,-75.561378,2024-02-21,publicada
CO014714,Medellin,Apartamento,143.8,3,2,190.0,6.302736,-75.605854,2024-07-18,publicada
CO011204,Santiago de Cali,Casa,161.1,2,1,251900000.0,3.370716,-76.579017,2024-12-15,vendida
CO029455,Santiago de Cali,Apartamento,109.2,2,2,177500000.0,3.408176,-76.56635,2024-03-10,remodelacion
CO003567,Santiago de Cali,Casa,254.4,2,1,361700000.0,3.431605,-76.458549,2024-01-07,publicada
CO037744,Medellin,Local,106.7,3,2,151400000.0,6.246925,-75.601953,2024-09-05,comprada
CO021719,Bogotá,Apartamento,103.4,2,1,200400000.0,4.668237,-74.131029,2024-10-06,publicada
CO037124,MEDELLIN,Casa,80.6,2,3,126000000.0,6.276929,-75.582504,2024-07-25,vendida
CO030487,Medellín,Casa,133.7,3,1,165600000.0,6.308064,-75.599791,2024-05-13,publicada
CO023461,Bogotá,Apartaestudio,104.8,3,3,150300000.0,4.65531,-74.167793,2024-03-14,remodelacion
CO003493,Barranquilla,Apartamento,134.9,3,1,144100000.0,10.975318,-74.857979,2024-05-02,publicada
CO001484,B/quilla,Apartaestudio,61.2,3,2,89200000.0,11.017299,-74.869221,2024-10-04,publicada
CO009871,Medellin,Casa,34.9,4,2,60000000,6.29923,-75.599673,2024-01-22,vendida
CO027177,BOGOTA,Apartamento,170.5,2,1,271400000.0,4.677111,-74.094989,2024-06-22,vendida
CO017395,BOGOTA,Apartaestudio,184.5,4,1,323200000.0,4.646221,-74.070293,2024-06-03,publicada
CO044621,Medellin,Local,92.9,4,3,147300000.0,6.270172,-75.526191,2024-01-28,comprada
CO031872,B/quilla,Local,113.0,4,1,92100000.0,10.943983,-74.807932,2024-12-13,comprada
CO041487,Medellín,Local,53.6,4,3,90000000.0,6.209365,-75.553093,2024-12-20,comprada
CO012290,B/quilla,Local,48.0,2,1,63400000.0,10.964585,-74.862299,2024-04-12,publicada
CO019295,Medellín,Apartaestudio,78.2,2,2,121300000.0,6.199447,-75.597279,2024-10-21,publicada
CO044260,Medellin,Apartaestudio,40.8,2,2,66900000.0,6.203578,-75.601307,2024-02-15,publicada
CO040370,Santiago de Cali,Apartamento,101.6,2,1,142300000.0,3.437408,-76.495862,2024-11-20,publicada
CO023173,Medellín,Apartaestudio,68.0,3,1,112100000.0,6.238483,-75.509887,2024-08-08,comprada
CO035557,Medellin,Local,95.5,2,3,172400000.0,6.223598,-75.639141,2024-06-24,publicada
CO001272,Bogota,Casa,109.8,2,3,196300000.0,4.704852,-74.153042,2024-08-27,publicada
CO037260,Bogota D.C.,Apartaestudio,97.8,4,1,181.9,4.671536,-74.048548,2024-02-26,vendida
CO035398,Santiago de Cali,Apartamento,147.6,2,1,243.6,3.450315,-76.581817,2024-09-25,remodelacion
CO039410,Santiago de Cali,Apartamento,149.2,3,2,215800000.0,3.426098,-76.554451,2024-03-14,publicada
CO000886,Barranquilla,Casa,28,1,2,60000000,10.926366,-74.779952,2024-04-24,publicada
CO020058,Bogotá,Apartaestudio,87.6,2,2,153000000.0,4.652836,-74.115681,2024-10-09,publicada
CO040496,Cali,Local,86.8,3,1,142800000.0,3.438318,-76.55233,2024-09-07,comprada
CO035176,Bogotá,Apartamento,131.2,3,2,244400000.0,4.642489,-74.11587,2024-01-08,vendida
CO031713,Barranquilla,Apartaestudio,171.4,2,2,106500000.0,11.021167,-74.823293,2024-07-18,vendida
CO042154,MEDELLIN,Apartaestudio,136.5,3,3,158700000.0,6.260714,-75.539995,2024-09-08,vendida
CO006007,Barranquilla,Apartamento,104.4,2,2,114500000.0,10.990896,-74.839423,2024-02-19,publicada
CO036914,BOGOTA,Apartaestudio,89.8,2,2,168800000.0,4.594815,-74.111828,2024-10-06,publicada
CO008877,B/quilla,Casa,137.0,2,2,188500000.0,10.967142,-74.754413,2024-12-04,publicada
CO013640,Barranquilla,Apartaestudio,52.1,3,1,76400000.0,10.932748,-74.778482,2024-07-15,publicada
CO003941,Santiago de Cali,Local,132.6,1,1,213400000.0,3.452489,-76.491166,2024-05-25,comprada
CO011975,BOGOTA,Apartaestudio,147.7,3,3,241100000.0,4.71833,-74.059286,2024-06-02,publicada
CO037727,Medellín,Local,129.6,1,2,233400000.0,6.293099,-75.620949,2024-10-23,publicada
CO014292,Medellín,Apartamento,176.3,4,1,252700000.0,6.186076,-75.504634,2024-11-01,publicada
CO020055,Cali,Local,82.4,2,2,112500000.0,3.45433,-76.499741,2024-09-18,publicada
CO021124,BOGOTA,Local,159.8,1,2,252500000.0,4.63776,-74.12766,2024-09-22,comprada
CO009787,Bogotá,Apartamento,132.7,1,1,215000000.0,4.581523,-74.035298,2024-02-14,publicada
CO042422,BOGOTA,Casa,171.1,2,1,403600000.0,4.587636,-74.138758,2024-07-03,vendida
CO019165,Barranquilla,Local,187.8,2,1,214000000.0,10.996755,-74.753557,2024-01-04,vendida
CO041296,Medellin,Apartaestudio,113.8,3,2,78400000.0,6.203091,-75.589935,2024-10-05,remodelacion
CO026897,MEDELLIN,Apartamento,110.6,2,3,192400000.0,6.309972,-75.604495,2024-11-17,vendida
CO000354,BOGOTA,Casa,115.6,2,1,149100000.0,4.658437,-74.071828,2024-08-25,comprada
CO023417,Barranquilla,Casa,144.9,4,1,169100000.0,10.998668,-74.736414,2024-06-13,remodelacion
CO042652,B/quilla,Casa,188.9,1,2,177100000.0,11.014998,-74.772585,2024-03-21,publicada
CO017961,B/quilla,Casa,182.9,3,2,234000000.0,10.963937,-74.736964,2024-01-23,publicada
CO007321,MEDELLIN,Apartamento,160.6,1,2,249300000.0,6.203928,-75.5291,2024-12-08,publicada
CO018747,Cali,Apartaestudio,102.3,4,2,148100000.0,3.506545,-76.552454,2024-03-23,comprada
CO031808,BOGOTA,Apartamento,60.8,2,1,69300000.0,4.615267,-74.128121,2024-05-10,publicada
CO018708,MEDELLIN,Apartaestudio,177.5,2,1,162.9,6.307324,-75.579565,2024-10-16,publicada
CO006089,Cali,Casa,126.7,3,1,,3.462277,-76.555648,2024-09-01,publicada
